Category;Term;Shortcut
Performance / Technique;improvise;imprvz
Performance / Technique;improvised;imprvzd
Performance / Technique;improvising;imprvzg
Performance / Technique;live instruments;lvin
Performance / Technique;mellisma;mlism
Performance / Technique;mix voice;mixvo
Performance / Technique;mixed register;mire
Performance / Technique;mute;Mt
Performance / Technique;muted;mtd
Performance / Technique;off-beat chop;ofbch
Performance / Technique;palm mute;plmmt
Performance / Technique;palm muting;Plmmtg
Performance / Technique;palm-muted;plmmtd
Performance / Technique;phasing;phsg
Performance / Technique;pick;pk
Performance / Technique;picked;pkd
Performance / Technique;picking;pickg
Performance / Technique;Picks;pks
Performance / Technique;play;ply
Performance / Technique;playful;plfl
Performance / Technique;playful feel;plflf
Performance / Technique;playfully;plfly
Performance / Technique;playfulness;plfns
Performance / Technique;pluck;plk
Performance / Technique;plucked;plkd
Performance / Technique;plucking;plkg
Performance / Technique;pull-off;pllff
Performance / Technique;pull-offs;pllffs
Performance / Technique;riffing;rffg
Performance / Technique;scat;scat
Performance / Technique;scat improvisation;scatim
Performance / Technique;scatting;scatg
Performance / Technique;self-aggrandising;slfag
Performance / Technique;sing;sg
Performance / Technique;slap;slp
Performance / Technique;slapped;slpd
Performance / Technique;slapping;slpg
Performance / Technique;slaps;slps
Performance / Technique;soloing;solog
Performance / Technique;speak;spk
Performance / Technique;spiccato;spcct
Performance / Technique;spiccato bowing;spcbw
Performance / Technique;spoken;spkn
Performance / Technique;spoken-word;spknw
Performance / Technique;strum;strm
Performance / Technique;strummed;strmd
Performance / Technique;strumming;strmg
Performance / Technique;strums;strms
Performance / Technique;swell;swl
Performance / Technique;swelling;swlg
Performance / Technique;swells;swls
Performance / Technique;transposing;trnspg
Performance / Technique;turn;Trn
Production / Recording / Effects;ambient loop;amblp
Production / Recording / Effects;ambient sample;ambsmp
Production / Recording / Effects;analog;anlg
Production / Recording / Effects;analog gear;anlgg
Production / Recording / Effects;analog recording;anlgrec
Production / Recording / Effects;analog signal;anlgsig
Production / Recording / Effects;analog tape;anlgtp
Production / Recording / Effects;analog warmth;anlgwm
Production / Recording / Effects;analogue;anlg2
Production / Recording / Effects;attack;attck
Production / Recording / Effects;attacks;attcks
Production / Recording / Effects;audio render;aure
Production / Recording / Effects;audio stem;aust
Production / Recording / Effects;auto-wah;autwa
Production / Recording / Effects;automate;atmt
Production / Recording / Effects;automated;atmtd
Production / Recording / Effects;automating;atmtg
Production / Recording / Effects;automation;atmtn
Production / Recording / Effects;bedroom;bdrm
Production / Recording / Effects;bedroom recording;bdr
Production / Recording / Effects;bit crushing;btcrsg
Production / Recording / Effects;bit reduction;btre
Production / Recording / Effects;bit-crushed;btcrsd
Production / Recording / Effects;bitcrusher;btcrs
Production / Recording / Effects;commercial release of DAW-based production;crdp2
Production / Recording / Effects;commercial release of live recording;crlr
Production / Recording / Effects;compress;cmpr
Production / Recording / Effects;compressed;cmprd
Production / Recording / Effects;compression;cmprn
Production / Recording / Effects;crossfade;crsf
Production / Recording / Effects;crossfaded;crsfd
Production / Recording / Effects;crossfades;crsfs
Production / Recording / Effects;crossfading;crsfg
Production / Recording / Effects;cutoff;ctff
Production / Recording / Effects;delay;dly
Production / Recording / Effects;delayed;dlyd
Production / Recording / Effects;digital;dgtl
Production / Recording / Effects;digital artifact;dgtla
Production / Recording / Effects;digital degradation;dgtdeg
Production / Recording / Effects;digital distortion;dgtdst
Production / Recording / Effects;digital production;dgtrep
Production / Recording / Effects;digital recording;dgtrec
Production / Recording / Effects;digitally;dgtly
Production / Recording / Effects;distort;dst
Production / Recording / Effects;distorted;dstd
Production / Recording / Effects;distortion;dstn
Production / Recording / Effects;duck;dck
Production / Recording / Effects;ducked;dckd
Production / Recording / Effects;ducking;dckg
Production / Recording / Effects;envelope;envlp
Production / Recording / Effects;envelope filter;envf
Production / Recording / Effects;envelope follower;envfo
Production / Recording / Effects;envelopes;envs
Production / Recording / Effects;filter;flt
Production / Recording / Effects;filter cutoff;fltcoff
Production / Recording / Effects;filter modulation;fltm
Production / Recording / Effects;filtered;fltd
Production / Recording / Effects;filtering;fltg
Production / Recording / Effects;filters;flts
Production / Recording / Effects;flange;flng
Production / Recording / Effects;flange effect;flngef
Production / Recording / Effects;flanged;flngd
Production / Recording / Effects;flanger;flngr
Production / Recording / Effects;flangers;flngs
Production / Recording / Effects;flanging;flngg
Production / Recording / Effects;gain;gn
Production / Recording / Effects;Ghost side-chain;ghstsc
Production / Recording / Effects;glitch;gltc
Production / Recording / Effects;glitched;gltcd
Production / Recording / Effects;glitching;gltcg
Production / Recording / Effects;glitchy;gltcy
Production / Recording / Effects;gloopy;glpy
Production / Recording / Effects;high-pass;hipas
Production / Recording / Effects;High-pass filter;hipasf
Production / Recording / Effects;LFO;lfo
Production / Recording / Effects;LFOs;lfos
Production / Recording / Effects;limit;lmt
Production / Recording / Effects;limited;lmtd
Production / Recording / Effects;limiter;lmtr
Production / Recording / Effects;limiters;lmts
Production / Recording / Effects;limiting;lmtg
Production / Recording / Effects;live recording;lvrc
Production / Recording / Effects;loop;lp
Production / Recording / Effects;looped;lpd
Production / Recording / Effects;looping;lpg
Production / Recording / Effects;loops;lps
Production / Recording / Effects;low-pass;lwpas
Production / Recording / Effects;master;mstr
Production / Recording / Effects;mastered;mstrd
Production / Recording / Effects;mastering;mstrg
Production / Recording / Effects;MIDI;midi
Production / Recording / Effects;mix;mx
Production / Recording / Effects;mixed;mxd
Production / Recording / Effects;mixes;mxs
Production / Recording / Effects;mono;mno
Production / Recording / Effects;mono-compatible;mnco
Production / Recording / Effects;mono-focus;mnfo
Production / Recording / Effects;noise;ns
Production / Recording / Effects;noise floor;Nsfl
Production / Recording / Effects;overdrive;ovd
Production / Recording / Effects;overdriven;ovdn
Production / Recording / Effects;pan;pn
Production / Recording / Effects;panned;pnnd
Production / Recording / Effects;panning;pnng
Production / Recording / Effects;phase;phs
Production / Recording / Effects;phased;phsd
Production / Recording / Effects;phaser;phsr
Production / Recording / Effects;phasers;phss
Production / Recording / Effects;pink noise;pnkns
Production / Recording / Effects;pitch-shift;Ptshf
Production / Recording / Effects;pitch-shifted;ptshfd
Production / Recording / Effects;pitch-shifting;ptshfg
Production / Recording / Effects;process;prcs
Production / Recording / Effects;processed;prcsd
Production / Recording / Effects;pulse-wave;plsw
Production / Recording / Effects;pump;pmp
Production / Recording / Effects;pumped;pmpd
Production / Recording / Effects;pumping;pmpg
Production / Recording / Effects;quantization;qntzn
Production / Recording / Effects;quantize;qntz
Production / Recording / Effects;quantized;qntzd
Production / Recording / Effects;raw recording;Rwrec
Production / Recording / Effects;record;rc
Production / Recording / Effects;recorded;rcd
Production / Recording / Effects;recording;rcg
Production / Recording / Effects;reverberant;rvbnt
Production / Recording / Effects;reverberate;rvrbr
Production / Recording / Effects;reverberated;rvbd
Production / Recording / Effects;sample;smpl
Production / Recording / Effects;sampled;smpld
Production / Recording / Effects;saturate;satu
Production / Recording / Effects;saturated;satud
Production / Recording / Effects;saturates;satus
Production / Recording / Effects;saturating;satug
Production / Recording / Effects;saturation;strtn
Production / Recording / Effects;sawtooth;swth
Production / Recording / Effects;sequencing;sqg
Production / Recording / Effects;side;side
Production / Recording / Effects;side-chain;sc
Production / Recording / Effects;side-chained;scd
Production / Recording / Effects;side-chaining;scg
Production / Recording / Effects;sidechain pumping;scpmp
Production / Recording / Effects;sine-wave;snw
Production / Recording / Effects;slowed and reverbed;slrv
Production / Recording / Effects;square-wave;sqw
Production / Recording / Effects;stereo;stro
Production / Recording / Effects;stereo mix;stmx
Production / Recording / Effects;stereo width;stwd
Production / Recording / Effects;studio;std
Production / Recording / Effects;studio production;stdpr
Production / Recording / Effects;stutter;sttr
Production / Recording / Effects;stuttered;sttrd
Production / Recording / Effects;stuttering;stttrg
Production / Recording / Effects;textural loop;txtlp
Production / Recording / Effects;textural sample;txtsmp
Production / Recording / Effects;track;trk
Production / Recording / Effects;tracked;trkd
Production / Recording / Effects;transient;trnsn
Production / Recording / Effects;transients;trnsns
Production / Recording / Effects;triangle-wave;triw
Production / Recording / Effects;vocoded;vcdd
Production / Recording / Effects;wah;wah
Production / Recording / Effects;wah effect;wafx
Production / Recording / Effects;wah pedal;wapd
Production / Recording / Effects;white noise;whnois
Production / Recording / Effects;wide stereo;wdst
Rhythm / Tempo / Meter;accelerando;acclra
Rhythm / Tempo / Meter;accelerate;acclr
Rhythm / Tempo / Meter;accelerated;acclrd
Rhythm / Tempo / Meter;accelerating;acclrg
Rhythm / Tempo / Meter;accelerating tempo;acct
Rhythm / Tempo / Meter;acceleration;acclrn
Rhythm / Tempo / Meter;accent;accnt
Rhythm / Tempo / Meter;accented;accntd
Rhythm / Tempo / Meter;accents;accnts
Rhythm / Tempo / Meter;accentuated;accntu
Rhythm / Tempo / Meter;allargando;allrg
Rhythm / Tempo / Meter;back-beat;bkbt
Rhythm / Tempo / Meter;backbeat;bkbt2
Rhythm / Tempo / Meter;bar;bar
Rhythm / Tempo / Meter;bar line;barli
Rhythm / Tempo / Meter;bars;bars
Rhythm / Tempo / Meter;beat;beat
Rhythm / Tempo / Meter;beats;beats
Rhythm / Tempo / Meter;dotted;dtd
Rhythm / Tempo / Meter;dotted note;dtdn
Rhythm / Tempo / Meter;dotted rhythm;Dtdrtm
Rhythm / Tempo / Meter;double-time;dblt
Rhythm / Tempo / Meter;down-beat;dwnb
Rhythm / Tempo / Meter;downbeat;dwnbt
Rhythm / Tempo / Meter;drag;drag
Rhythm / Tempo / Meter;dragged;drgd
Rhythm / Tempo / Meter;dragging;drgg
Rhythm / Tempo / Meter;Ghost;ghst
Rhythm / Tempo / Meter;Ghost notes;ghstnts
Rhythm / Tempo / Meter;grid;grid
Rhythm / Tempo / Meter;groove;grv
Rhythm / Tempo / Meter;grooved;grvd
Rhythm / Tempo / Meter;grooves;grvs
Rhythm / Tempo / Meter;grooving;grvg
Rhythm / Tempo / Meter;measure;msr
Rhythm / Tempo / Meter;measures;msrs
Rhythm / Tempo / Meter;meters;mtrs
Rhythm / Tempo / Meter;metre;mtr
Rhythm / Tempo / Meter;off-grid;ofgr
Rhythm / Tempo / Meter;on-beat;onb
Rhythm / Tempo / Meter;on-grid;ongr
Rhythm / Tempo / Meter;pattern;pttn
Rhythm / Tempo / Meter;patterns;pttns
Rhythm / Tempo / Meter;pocket;pkt
Rhythm / Tempo / Meter;pocketed;pktd
Rhythm / Tempo / Meter;polyrhythm;plyrtm
Rhythm / Tempo / Meter;polyrhythmic;plyrtmc
Rhythm / Tempo / Meter;polyrhythmically;plyrtmy
Rhythm / Tempo / Meter;polyrhythms;plyrtms
Rhythm / Tempo / Meter;pulse;plse
Rhythm / Tempo / Meter;pulses;plses
Rhythm / Tempo / Meter;push;psh
Rhythm / Tempo / Meter;pushing the beat;pshtb
Rhythm / Tempo / Meter;quantizing;qntzg
Rhythm / Tempo / Meter;rallentando;rllnt
Rhythm / Tempo / Meter;rest;rst
Rhythm / Tempo / Meter;rests;rsts
Rhythm / Tempo / Meter;rhythm;rtm
Rhythm / Tempo / Meter;rhythmic;rtmc
Rhythm / Tempo / Meter;rhythmically;rtmy
Rhythm / Tempo / Meter;roll;rll
Rhythm / Tempo / Meter;Shuffle;shffl
Rhythm / Tempo / Meter;slowing tempo;slot
Rhythm / Tempo / Meter;straight;Strt
Rhythm / Tempo / Meter;straight feel;strtfl
Rhythm / Tempo / Meter;straight time;strtt
Rhythm / Tempo / Meter;swing;swng
Rhythm / Tempo / Meter;swinging;swngg
Rhythm / Tempo / Meter;synchronise;syncr
Rhythm / Tempo / Meter;Synchronised;syncrd
Rhythm / Tempo / Meter;syncopated;syncd
Rhythm / Tempo / Meter;syncopating;syncg
Rhythm / Tempo / Meter;tempo;tmp
Rhythm / Tempo / Meter;tempo acceleration;tmpac
Rhythm / Tempo / Meter;tempo slowdown;Tmpsldwn
Rhythm / Tempo / Meter;tempos;tmps
Rhythm / Tempo / Meter;time signature;tmsig
Rhythm / Tempo / Meter;triplet;trp
Rhythm / Tempo / Meter;triplets;trps
Rhythm / Tempo / Meter;up-beat;upb2
Rhythm / Tempo / Meter;upbeat;upbt
Descriptors / Mood / Texture;acoustic;acstc
Descriptors / Mood / Texture;aggressive;agg
Descriptors / Mood / Texture;aggressively;aggly
Descriptors / Mood / Texture;airy;ary
Descriptors / Mood / Texture;ambience;amb
Descriptors / Mood / Texture;ambient;ambt
Descriptors / Mood / Texture;ambient effects;ambfx
Descriptors / Mood / Texture;Angelic;anglc
Descriptors / Mood / Texture;anger;angr
Descriptors / Mood / Texture;angrily;angly
Descriptors / Mood / Texture;angry;angry
Descriptors / Mood / Texture;Antagonistic;antg
Descriptors / Mood / Texture;anthemic;anth
Descriptors / Mood / Texture;assertive;assrt
Descriptors / Mood / Texture;atmosphere;atmsp
Descriptors / Mood / Texture;atmospheric;atmo
Descriptors / Mood / Texture;beautiful;btfl
Descriptors / Mood / Texture;beautifully;btfly
Descriptors / Mood / Texture;beauty;beau
Descriptors / Mood / Texture;blue;blue
Descriptors / Mood / Texture;bold;bold
Descriptors / Mood / Texture;boldly;bldly
Descriptors / Mood / Texture;boldness;boldn
Descriptors / Mood / Texture;bounce;bnc
Descriptors / Mood / Texture;bouncing;bncg
Descriptors / Mood / Texture;bouncy;bncy
Descriptors / Mood / Texture;brassy;brsy
Descriptors / Mood / Texture;breathy;brthy
Descriptors / Mood / Texture;bright;brt
Descriptors / Mood / Texture;brightly;brtly
Descriptors / Mood / Texture;brittle;brtle
Descriptors / Mood / Texture;broadened;brodnd
Descriptors / Mood / Texture;broadening;brodng
Descriptors / Mood / Texture;Brooding;brdng
Descriptors / Mood / Texture;Brush-work;brshw
Descriptors / Mood / Texture;calm;clm
Descriptors / Mood / Texture;calmed;Clmd
Descriptors / Mood / Texture;Calming;clmg
Descriptors / Mood / Texture;Calms;clms
Descriptors / Mood / Texture;cathartic;cthtc
Descriptors / Mood / Texture;chromatic;chrmt
Descriptors / Mood / Texture;chromatically;chrmly
Descriptors / Mood / Texture;cinematic;cnmt
Descriptors / Mood / Texture;cinematically;cnmtly
Descriptors / Mood / Texture;clarity;clrty
Descriptors / Mood / Texture;clean;cln
Descriptors / Mood / Texture;clear;clr
Descriptors / Mood / Texture;clearly;clrly
Descriptors / Mood / Texture;clipped;clipd
Descriptors / Mood / Texture;cold;cld
Descriptors / Mood / Texture;coldly;cldly
Descriptors / Mood / Texture;coldness;colds
Descriptors / Mood / Texture;commercial;cmrcl
Descriptors / Mood / Texture;commercially;cmrcly
Descriptors / Mood / Texture;complex;cmplx
Descriptors / Mood / Texture;complexity;Cmplxy
Descriptors / Mood / Texture;confessional;cnfsl
Descriptors / Mood / Texture;confident;confd
Descriptors / Mood / Texture;confidently;confdly
Descriptors / Mood / Texture;confrontational;cnfr
Descriptors / Mood / Texture;consonantly;cnsntly
Descriptors / Mood / Texture;conversational;cnvrs
Descriptors / Mood / Texture;creak;crk
Descriptors / Mood / Texture;crisp;crsp
Descriptors / Mood / Texture;Curious;curos
Descriptors / Mood / Texture;dark;drk
Descriptors / Mood / Texture;darkly;drkly
Descriptors / Mood / Texture;Deepen;dpn
Descriptors / Mood / Texture;Deepening;dpng
Descriptors / Mood / Texture;dense;dns
Descriptors / Mood / Texture;depressing;dprs
Descriptors / Mood / Texture;depth;Dpt
Descriptors / Mood / Texture;diminish;dmnsh
Descriptors / Mood / Texture;diminishing;dmnshg
Descriptors / Mood / Texture;diminuendo;dmnnd
Descriptors / Mood / Texture;Dirt;drt
Descriptors / Mood / Texture;Dirty;drty
Descriptors / Mood / Texture;dissonantly;dsntly
Descriptors / Mood / Texture;dominance;dmnc
Descriptors / Mood / Texture;drama;drma
Descriptors / Mood / Texture;dramatic;drmtc
Descriptors / Mood / Texture;dramatically;drmtcly
Descriptors / Mood / Texture;dreamy;drmy
Descriptors / Mood / Texture;drive;drv
Descriptors / Mood / Texture;driven;drvn
Descriptors / Mood / Texture;driving;drvg
Descriptors / Mood / Texture;drone;drn
Descriptors / Mood / Texture;drone note;drnnt
Descriptors / Mood / Texture;drone texture;drntx
Descriptors / Mood / Texture;droned;drnd
Descriptors / Mood / Texture;droning;drng
Descriptors / Mood / Texture;dry;dry
Descriptors / Mood / Texture;dynamic;dync
Descriptors / Mood / Texture;dynamically;dyncly
Descriptors / Mood / Texture;dynamics;dyns
Descriptors / Mood / Texture;ecstasy;ecsts
Descriptors / Mood / Texture;ecstatic;ecstt
Descriptors / Mood / Texture;ecstatic feel;ecsfe
Descriptors / Mood / Texture;ecstatically;Ecstly
Descriptors / Mood / Texture;eerie;eeri
Descriptors / Mood / Texture;eerie atmosphere;eerat
Descriptors / Mood / Texture;eerie feel;eerf
Descriptors / Mood / Texture;eerily;Eerly
Descriptors / Mood / Texture;eeriness;eerns
Descriptors / Mood / Texture;elated;eltd
Descriptors / Mood / Texture;electric;elc
Descriptors / Mood / Texture;electronically;elcly
Descriptors / Mood / Texture;emotional;emol
Descriptors / Mood / Texture;emotionally;emoly
Descriptors / Mood / Texture;emotive;emtv
Descriptors / Mood / Texture;Enchanting;encnt
Descriptors / Mood / Texture;energetic;engt
Descriptors / Mood / Texture;epic;epic
Descriptors / Mood / Texture;epically;epcly
Descriptors / Mood / Texture;establish;estb
Descriptors / Mood / Texture;Ethereal;ethl
Descriptors / Mood / Texture;euphoric;euphc
Descriptors / Mood / Texture;evocative;evctv
Descriptors / Mood / Texture;evocatively;evctvly
Descriptors / Mood / Texture;expressive;exprv
Descriptors / Mood / Texture;expressively;exprly
Descriptors / Mood / Texture;fast attack;fatk
Descriptors / Mood / Texture;fawning;fwng
Descriptors / Mood / Texture;ff;ff
Descriptors / Mood / Texture;fff;fff
Descriptors / Mood / Texture;Flirtatious;flrts
Descriptors / Mood / Texture;Flirty;flrty
Descriptors / Mood / Texture;force;frc
Descriptors / Mood / Texture;forceful;frcfl
Descriptors / Mood / Texture;forcefully;fcfly
Descriptors / Mood / Texture;forte;fte
Descriptors / Mood / Texture;full-voiced;fllv
Descriptors / Mood / Texture;fuzzy;fzy
Descriptors / Mood / Texture;gentle;gntl
Descriptors / Mood / Texture;gently;gntl+ly
Descriptors / Mood / Texture;glassy;glss
Descriptors / Mood / Texture;Glitter;gltr
Descriptors / Mood / Texture;glossy;glsy
Descriptors / Mood / Texture;grainy;grny
Descriptors / Mood / Texture;gravel;grvl
Descriptors / Mood / Texture;Gravelly;grvlly
Descriptors / Mood / Texture;Gritty;grty
Descriptors / Mood / Texture;groovy;grey
Descriptors / Mood / Texture;grt;grit
Descriptors / Mood / Texture;hard-hitting;hrdh
Descriptors / Mood / Texture;harsh;hrsh
Descriptors / Mood / Texture;haunt;hnt
Descriptors / Mood / Texture;haunting;hntg
Descriptors / Mood / Texture;hauntingly;hntgly
Descriptors / Mood / Texture;hazy;hzy
Descriptors / Mood / Texture;heavily;hvly
Descriptors / Mood / Texture;heavy;hvy
Descriptors / Mood / Texture;high;high
Descriptors / Mood / Texture;hopeful;hpfl
Descriptors / Mood / Texture;Hype-talk;hypt
Descriptors / Mood / Texture;Hype-talking;hyptg
Descriptors / Mood / Texture;hypnotic;hypn
Descriptors / Mood / Texture;imperfect;impfct
Descriptors / Mood / Texture;intimate;intm
Descriptors / Mood / Texture;intimately;intmly
Descriptors / Mood / Texture;Irreverent;irvrnt
Descriptors / Mood / Texture;joyful;jyfl
Descriptors / Mood / Texture;joyfully;jyfly
Descriptors / Mood / Texture;laid-back;ldbk
Descriptors / Mood / Texture;Lazy;lz
Descriptors / Mood / Texture;Lethargic;Lthgc
Descriptors / Mood / Texture;light;lgt
Descriptors / Mood / Texture;lighthearted;lgthrt
Descriptors / Mood / Texture;lightly;lgtly
Descriptors / Mood / Texture;live;lv
Descriptors / Mood / Texture;locked-in;lkdi
Descriptors / Mood / Texture;longing;lngg
Descriptors / Mood / Texture;longing feel;lngfl
Descriptors / Mood / Texture;longingly;lngly
Descriptors / Mood / Texture;loud;loud
Descriptors / Mood / Texture;loudly;ldly
Descriptors / Mood / Texture;loudness;ldnss
Descriptors / Mood / Texture;low;lw
Descriptors / Mood / Texture;lower register;lwrg
Descriptors / Mood / Texture;lush;lsh
Descriptors / Mood / Texture;Malevolant;mlvl
Descriptors / Mood / Texture;Meander;mandr
Descriptors / Mood / Texture;mechanical;mchncl
Descriptors / Mood / Texture;mechanically;mchncly
Descriptors / Mood / Texture;melancholic;mlnc
Descriptors / Mood / Texture;melancholically;mlncly
Descriptors / Mood / Texture;melancholy;mlncy
Descriptors / Mood / Texture;mellismatic;mlismt
Descriptors / Mood / Texture;mellow;mllw
Descriptors / Mood / Texture;mellowed;mllwd
Descriptors / Mood / Texture;mellowing;mllwg
Descriptors / Mood / Texture;mellowly;mllw+ly
Descriptors / Mood / Texture;mellowness;mllws
Descriptors / Mood / Texture;Metal;Mtl
Descriptors / Mood / Texture;Metallic;mtlc
Descriptors / Mood / Texture;mf;mf
Descriptors / Mood / Texture;militant;mltnt
Descriptors / Mood / Texture;minimal;mnml
Descriptors / Mood / Texture;minimally;mnmly
Descriptors / Mood / Texture;Misty;msty
Descriptors / Mood / Texture;moody;mdy
Descriptors / Mood / Texture;mp;mp
Descriptors / Mood / Texture;muddy;mddy
Descriptors / Mood / Texture;mysterious;mystr
Descriptors / Mood / Texture;narrow;nrrw
Descriptors / Mood / Texture;natural;ntrl
Descriptors / Mood / Texture;naturally;ntrly
Descriptors / Mood / Texture;nature;ntr
Descriptors / Mood / Texture;nocturnal;noct
Descriptors / Mood / Texture;noisy;nsy
Descriptors / Mood / Texture;nostalgic;nstlg
Descriptors / Mood / Texture;Ominous;omns
Descriptors / Mood / Texture;ominously;omnsly
Descriptors / Mood / Texture;open;opn
Descriptors / Mood / Texture;Overwhelm;Ovrw
Descriptors / Mood / Texture;Overwhelmed;ovrwd
Descriptors / Mood / Texture;Overwhelming;Ovrwg
Descriptors / Mood / Texture;passionate;psnt
Descriptors / Mood / Texture;peaceful;pcfl
Descriptors / Mood / Texture;peacefully;pcfly
Descriptors / Mood / Texture;percussive;prcv
Descriptors / Mood / Texture;pianissimo;pnssm
Descriptors / Mood / Texture;pleading;pldg
Descriptors / Mood / Texture;positive;pstv
Descriptors / Mood / Texture;pp;pp
Descriptors / Mood / Texture;ppp;ppp
Descriptors / Mood / Texture;professional;prf
Descriptors / Mood / Texture;professionally;prfly
Descriptors / Mood / Texture;Provocative;prvct
Descriptors / Mood / Texture;psychedelic;psyd
Descriptors / Mood / Texture;punchy;pnchy
Descriptors / Mood / Texture;quiet;qt
Descriptors / Mood / Texture;quietly;qtly
Descriptors / Mood / Texture;quietness;qtns
Descriptors / Mood / Texture;raspy;rsp
Descriptors / Mood / Texture;raw;rw
Descriptors / Mood / Texture;reflective;rflct
Descriptors / Mood / Texture;relaxing;rlxg
Descriptors / Mood / Texture;repetitive;rptt
Descriptors / Mood / Texture;resonant;rsnt
Descriptors / Mood / Texture;restless;rstls
Descriptors / Mood / Texture;restless energy;rtseng
Descriptors / Mood / Texture;restlessly;rstly
Descriptors / Mood / Texture;restlessness;rstln
Descriptors / Mood / Texture;restrained;rstr
Descriptors / Mood / Texture;Reverent;rvrnt
Descriptors / Mood / Texture;rich;rch
Descriptors / Mood / Texture;Richness;rchn
Descriptors / Mood / Texture;romance;rmnc
Descriptors / Mood / Texture;romantic;rmtc
Descriptors / Mood / Texture;romantically;rmtcly
Descriptors / Mood / Texture;roomy;rmy
Descriptors / Mood / Texture;rough;rgh
Descriptors / Mood / Texture;round;rnd
Descriptors / Mood / Texture;sad;sad
Descriptors / Mood / Texture;sadly;sad+ly
Descriptors / Mood / Texture;sadness;sads
Descriptors / Mood / Texture;Seductive;sdctv
Descriptors / Mood / Texture;sensitive;snstv
Descriptors / Mood / Texture;sentimental;sntmnt
Descriptors / Mood / Texture;serene;srn
Descriptors / Mood / Texture;Shimmer;shmr
Descriptors / Mood / Texture;Shimmering;shmrg
Descriptors / Mood / Texture;silky;slky
Descriptors / Mood / Texture;simple;smple
Descriptors / Mood / Texture;simplicity;smplc
Descriptors / Mood / Texture;simply;smply
Descriptors / Mood / Texture;Sinister;snstr
Descriptors / Mood / Texture;slow attack;slatk
Descriptors / Mood / Texture;smooth;smth
Descriptors / Mood / Texture;smoothly;smthly
Descriptors / Mood / Texture;soft;sft
Descriptors / Mood / Texture;softly;sftly
Descriptors / Mood / Texture;solemn;slmn
Descriptors / Mood / Texture;solemn feel;slmnfl
Descriptors / Mood / Texture;solemn tone;slmnto
Descriptors / Mood / Texture;solemnity;slmnty
Descriptors / Mood / Texture;solemnly;slmly
Descriptors / Mood / Texture;soothing;sthng
Descriptors / Mood / Texture;space;spc
Descriptors / Mood / Texture;spacey;spcy
Descriptors / Mood / Texture;spacious;spcs
Descriptors / Mood / Texture;Sparkle;spkl
Descriptors / Mood / Texture;Sparkling;spklg
Descriptors / Mood / Texture;sparse;sprs
Descriptors / Mood / Texture;sparsely;sprsly
Descriptors / Mood / Texture;storyteller;stryt
Descriptors / Mood / Texture;studio polish;stdp
Descriptors / Mood / Texture;subby;sbby
Descriptors / Mood / Texture;subtle;sbtl
Descriptors / Mood / Texture;subtly;sbtly
Descriptors / Mood / Texture;sudden accent;sdnacc
Descriptors / Mood / Texture;Sultry;sltry
Descriptors / Mood / Texture;tender;tndr
Descriptors / Mood / Texture;tense;tnse
Descriptors / Mood / Texture;tentative;tntv
Descriptors / Mood / Texture;Tentatively;tntvly
Descriptors / Mood / Texture;textural;txtl
Descriptors / Mood / Texture;texture;txt
Descriptors / Mood / Texture;textures;txts
Descriptors / Mood / Texture;thick;thck
Descriptors / Mood / Texture;thin;thn
Descriptors / Mood / Texture;thin out;thno
Descriptors / Mood / Texture;thinning out;thngo
Descriptors / Mood / Texture;thins out;thnso
Descriptors / Mood / Texture;tight;tgt
Descriptors / Mood / Texture;tightly;tgtly
Descriptors / Mood / Texture;triumphant;trmph
Descriptors / Mood / Texture;upfront;upfr
Descriptors / Mood / Texture;uplifting;uplf
Descriptors / Mood / Texture;upper;uppr
Descriptors / Mood / Texture;upper register;uprg
Descriptors / Mood / Texture;warm;wrm
Descriptors / Mood / Texture;warmly;wrmly
Descriptors / Mood / Texture;warmth;wrmt
Descriptors / Mood / Texture;wash;wsh
Descriptors / Mood / Texture;Wash-out;wsho
Descriptors / Mood / Texture;washed;wshd
Descriptors / Mood / Texture;washed-out;wshdo
Descriptors / Mood / Texture;weight;wght
Descriptors / Mood / Texture;weighty;wgty
Descriptors / Mood / Texture;wet;wet
Descriptors / Mood / Texture;wide;wd
Descriptors / Mood / Texture;wistful;wstfl
Descriptors / Mood / Texture;woody;wdy
Descriptors / Mood / Texture;Worship;wshp
Descriptors / Mood / Texture;yearning;yrn
